"Fiscal_Year","Agency","Program_Name","Agency_Compliance","pcp12_1","pcp01_1","pcp2_2","pcp3_2","pcp4_2","pcp5_2","pcp6_2","pcp7_2","pcp8_2","pcp9_2","pcp10_2","pcp11_2"
"2023","DHS","Transportation Security Administration - Payroll, Compensation, & Benefits","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","CNCS","National Service Trust","Non-compliant","2","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Lost Wages","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Intercity Bus Security Grants","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard - Payroll: Civilian","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Public Assistance - Validate as You Go","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Purchase Card","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Public Assistance","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Port Security Grant Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Cybersecurity and Infrastructure Security Agency - All Other","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Travel","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement - Homeland Security Investigations","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Cybersecurity and Infrastructure Security Agency - Payroll","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Transportation Security Administration - Operations & Support: Other Operations and Enforcement","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Hazard Mitigation Grant Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Secret Service - Protection","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Vendor Pay - Disaster Supplemental Funds","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency – United States Fire Administration","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Disaster Direct Loan Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Management Directorate - Management & Administration","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement - Fleet Card","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement - Travel","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Transportation Security Administration - Procurement, Construction, and Improvements: Aviation Screening Infrastructure","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Dissemination Services","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Federal Insurance & Mitigation Administration: Non-Claims","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","International Trade Administration (ITA) - Global Markets","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Claims and Non-Claims","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Institute of Standards and Technology (NIST) - Payments to Employees","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Data Lake","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Citizenship and Immigration Services - Employment Status Verifications (E-Verify)","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Economic Development Administration (EDA) - Salaries and Expenses","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Flood Hazard Map and Risk Analysis Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Payroll - Disaster Supplemental Funds","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Technical Information Service (NTIS)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Homeland Security Grant Program","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard - Procurements, Construction, and Improvement - Disaster Supplemental Funds","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard - Aviation Logistics Command","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Telecommunications and Information Administration (NTIA) - Connecting Minority Communities Pilot Program","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","International Trade Administration (ITA) - Enforcement and Compliance","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","International Trade Administration (ITA) - Industry and Analysis","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Pre-Disaster Mitigation","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard - Operations & Support - Disaster Supplemental Funds","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Institute of Standards and Technology (NIST) - Interagency Agreements/Other/Miscellaneous","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Urban Search and Rescue","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard - Retired Pay","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Management Directorate - Federal Protective Service","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Federal Emergency Management Agency - Training Grants","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Institute of Standards and Technology (NIST) - Purchase Card","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard - Operations & Support","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Telecommunications and Information Administration (NTIA)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Geographic Support","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard - Supply Fund","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Office of Inspector General - Audits, Inspections, & Investigations","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Working Capital Fund","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DNFSB","Salaries and Expenses (Direct)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Decennial Census","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Science and Technology Directorate - Procurement","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Oceanic and Atmospheric Administration (NOAA) - Loans, IPACs, Other","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Oceanic and Atmospheric Administration (NOAA) - Purchase Orders and Contracts","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - State Children's Health Insurance Program","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Transportation Security Administration - Operations & Support: Mission Support","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Office of Inspector General (OIG) - Department of Commerce","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard - Surface Forces Logistics Command","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Customs and Border Protection - PR and VI Programs","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOE","Vendors/Contracts","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement - Coronavirus Aid, Relief, and Economic Security Act Funds","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Survey of Program Dynamics","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Technical Information Service (NTIS) - (Collect and Disseminate Technical Information - Clearinghouse Program)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement - Enforcement and Removal Operations","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Customs and Border Protection - Refund and Drawback","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Telecommunications and Information Administration (NTIA) - Broadband Equity, Access, and Deployment Program","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Immigration and Customs Enforcement - Purchase Card","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Secret Service - Contribution for Annuity Benefits","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Current Economic Statistics","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Minority Business Development Agency (MBDA) - Minority Business Development Grants","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Telecommunications and Information Administration (NTIA) - Broadband Technology Opportunities Program","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Economic Development Administration (EDA) - Grants","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Secret Service - Procurement, Construction, & Improvement","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Telecommunications and Information Administration (NTIA) - First Responder Network Authority","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Science and Technology Directorate - Centers of Excellence","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Secret Service - Training","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Telecommunications and Information Administration (NTIA) - Middle Mile Program","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Telecommunications and Information Administration (NTIA) - Broadband Infrastructure Program & Tribal Broadband Connectivity Program","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","Transportation Security Administration - Research & Development","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Current Demographic Statistics","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Office of the Secretary (OS) - Departmental Management","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Minority Business Development Agency (MBDA) - Minority Business Development and Advocacy","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","U.S. Citizenship and Immigration Services (USCIS) - Administration","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Cooperative Endangered Species Conservation Fund, from Land and Water Conservation Fund, U.S. Fish and Wildlife Service, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Oceanic and Atmospheric Administration (NOAA) - Labor and Payments to Employees","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","U.S. Patent and Trademark Office (USPTO) - Patents and Trademarks","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Departmental Operations, Office of the Secretary, Office of Surface Mining Reclamation and Enforcement, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Citizenship and Immigration Services - Adjudication Services","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Telecommunications and Information Administration (NTIA) - Non-FirstNet Activity included in a) Public Safety Trust Fund; and b) Network Construction Fund","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOE","Benefits - Travel","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOE","Benefits - Payroll","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Office of the Secretary (OS)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Bi-Partisan Budget Act of 2018 Disaster Relief Supplemental, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Coast Guard - Procurement, Construction, & Improvement","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Departmental Operations, Office of the Secretary, Office of the Solicitor, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau - Enterprise Data Collection and Dissemination System (EDCADS) - Administrative Records Research and Integration","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","All Programs, U.S. Geological Survey, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Departmental Operations, Office of the Secretary, Office of Wildland Fire, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Census Bureau","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Compact of Free Association, Insular Affairs, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Energy Community Revitalization Program, Department-Wide Programs, Interior - BIL 220G2641ID","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Abandoned Mine Reclamation Fund, Office of Surface Mining Reclamation and Enforcement, Interior - Federal Regulatory and Reclamation Programs for Oklahoma - 22XS501520, 23XS501520","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOE","Other","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Highway Infrastructure Programs, Federal Highway Administration, Transportation, Bureau of Indian Affairs, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Departmental Operations, Office of the Secretary, Bureau of Trust Funds Administration, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Centennial Challenge, National Park Service, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","International Trade Administration (ITA) - Executive Direction and Administration","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Assistance to Territories, Insular Affairs, Interior - IRA 226D0412TM, 226D0412AM","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DHS","United States Customs and Border Protection - Procurement, Construction, and Improvements","Non-compliant","3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","National Institute of Standards and Technology (NIST) - Grants","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","California Water Security and Environmental Enhancement","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Bureau of Industry and Security (BIS) - Dual Use Export Administration and Enforcement","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Child Care Entitlement to States, Administration for Children and Families, Health and Human Services for Bureau of Indian Affairs, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Assistance to Territories, Insular Affairs, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","Economic Development Administration (EDA)","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Construction and Anadromous Fish, U.S. Fish and Wildlife Service, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOC","U.S. Patent and Trademark Office","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Concessioner Improvement Accounts, National Park Service, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Departmental Operations, Office of the Secretary, Interior - BIL 1414X0102.020","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Land and Resources Management Trust Fund, Bureau of Land Management, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Colorado River Basin Act of 1968","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Departmental Operations, Office of the Secretary, Office of Insular Affairs, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Departmental Operations, Office of the Secretary, Interior - BIL 22XP010263, 23XP010263","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2023","DOI","Migratory Bird Conservation Account, U.S. Fish and Wildlife Service, Interior","Compliant","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
