"Agency","Last_Risk_Assessment","Program_Name"
"HHS","2023","Administration for Children and Families (ACF) - Title IV-E Kinship Navigator Program"
"HHS","2023","Administration for Children and Families (ACF) - Title IV-E Prevention Program"
"HHS","2025","Administration for Children and Families (ACF) - Title V Sexual Risk Avoidance Education Program (Discretionary Grants)"
"HHS","2025","Administration for Children and Families (ACF) - Title V State Sexual Risk Avoidance Education (Title V State SRAE) Program"
"HHS","2025","Administration for Children and Families (ACF) - Transitional Living for Homeless Youth"
"HHS","2024","Administration for Children and Families (ACF) - Tribal Maternal, Infant, and Early Childhood Home Visiting"
"HHS","2024","Administration for Children and Families (ACF) - Unaccompanied Alien Children Program"
"HHS","2025","Administration for Community Living (ACL) - Alzheimers Programs"
"HHS","2024","Administration for Community Living (ACL) - Assistive Technology Programs"
"HHS","2023","Administration for Community Living (ACL) - Developmental Disabilities (DD) Council Formula Program"
"HHS","2024","Administration for Community Living (ACL) - Independent Living Programs"
"HHS","2023","Administration for Community Living (ACL) - Nutrition Services Incentive Program (NSIP) Formula Program"
"HHS","2023","Administration for Community Living (ACL) - State Aging Formula Programs"
"HHS","2025","Administration for Community Living (ACL) - Tribal Aging Formula Program"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Community Mitigation & Recovery"
"HHS","2025","Administration for Strategic Preparedness and Response (ASPR) - Contract Management and Acquisitions"
"HHS","2025","Administration for Strategic Preparedness and Response (ASPR) - Finance"
"HHS","2023","Administration for Strategic Preparedness and Response (ASPR) - Health Care Readiness"
"HHS","2025","Administration for Strategic Preparedness and Response (ASPR) - Infectious Disease Response"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Logistics"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Management and Business Operations"
"HHS","2025","Administration for Strategic Preparedness and Response (ASPR) - Management Operations"
"HHS","2025","Administration for Strategic Preparedness and Response (ASPR) - Medical Countermeasures Program"
"HHS","2025","Administration for Strategic Preparedness and Response (ASPR) - Medical Countermeasures Program Support Services"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - National Disaster Medical System"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - National Readiness and Response"
"HHS","2025","Administration for Strategic Preparedness and Response (ASPR) - Office of Critical Medical Equipment"
"HHS","2025","Administration for Strategic Preparedness and Response (ASPR) - Office of Defense Production Act and Emergency Response Authorities"
"HHS","2025","Administration for Strategic Preparedness and Response (ASPR) - Office of Enabling Innovation and Technologies"
"HHS","2023","Administration for Strategic Preparedness and Response (ASPR) - Office of Security, Vetting, and Protection"
"HHS","2025","Administration for Strategic Preparedness and Response (ASPR) - Office of Supply Chain Optimization"
"HHS","2025","Administration for Strategic Preparedness and Response (ASPR) - Office of Testing and Diagnostics"
"HHS","2025","Administration for Strategic Preparedness and Response (ASPR) - Planning and Operational Coordination"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Regional Response"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Response Logistics"
"HHS","2025","Administration for Strategic Preparedness and Response (ASPR) - Supply, Production, and Distribution"
"NEH","2025","Administration-General Fund"
"MCC","2023","Administrative Expenses - Millennium Challenge Corporation"
"NEH","2024","Administrative Funds (210)"
"NLRB","2025","Administrative Law Judges"
"NARA","2023","Administrative Overhead"
"SSA","2025","Administrative Payments - Social Security Administration"
"DOJ","2025","Administrative, Technology, and Other"
"ED","2025","Adult Education - Basic Grants to States"
"NASA","2023","Advanced Air Vehicles Program"
"NASA","2023","Advanced Cislunar and Surface Capabilities"
"NASA","2023","Advanced Exploration Systems"
"NASA","2023","Aerosciences Evaluation and Test Capabilities"
"HHS","2024","Agency for Healthcare Research and Quality (AHRQ) - Medical Expenditure Panel Survey"
"HHS","2025","Agency for Healthcare Research and Quality (AHRQ) - Program Support"
"HHS","2023","Agency for Healthcare Research and Quality (AHRQ) - Research on Health Costs, Quality, and Outcomes"
"NASA","2023","Agency Management"
"NARA","2023","Agency Services"
"NASA","2023","Agency Technical Authority"
"DOI","2024","Aging Infrastructure Account, Bureau of Reclamation, Interior"
"USDA","2024","Agricultural Marketing Service (AMS) - Acer Access Development Program"
"USDA","2021","Agricultural Marketing Service (AMS) - Farmers Market and Local Food Promotion Program"
"USDA","2024","Agricultural Marketing Service (AMS) Commodity Purchase Program"
"USDA","2024","Agricultural Marketing Service (AMS) Salaries and Expenses"
"USDA","2025","Agricultural Research Service (ARS) Hurricane Harvey - Buildings and Facilities"
"USDA","2023","Agriculture Research Service (ARS) Buildings and Facilities"
"USDA","2025","Agriculture Wool Apparel Manufacturers Trust Fund"
"NASA","2023","Airspace Operations and Safety Program"
"ED","2025","Alaska Native Educational Programs"
"VA","2024","Alcohol and Drug Treatment Rehabilitation"
"TREASURY","2023","Alcohol and Tobacco Tax and Trade Bureau - Internal Revenue Collection Puerto Rico"
"TREASURY","2024","Alcohol and Tobacco Tax and Trade Bureau - Salaries and Expenses"
"STATE","2025","American Compensation"
"ED","2025","American History and Civics Education"
"ED","2024","American Indian Vocational Rehabilitation Services"
"ED","2025","American Printing House for the Blind"
"CNCS","2025","AmeriCorps National Civilian Community Corps (NCCC)"
"CNCS","2022","AmeriCorps State and National"
"CNCS","2025","AmeriCorps State Service Commission Grants"
"CNCS","2025","AmeriCorps Volunteers in Service to America (VISTA)"
"USDA","2024","Animal and Plant Health Inspection Service (APHIS) Trust Funds"
"NASA","2023","Applied Sciences"
"NEA","2025","Arts and Artifacts Indemnity Program"
"ED","2025","Arts in Education"
"STATE","2025","Assessed Contributions"
"DOI","2025","Assistance to Territories, Insular Affairs, Interior"
"GSA","2024","Assisted Acquisition Services (AAS)"
"NASA","2023","Astrophysics Explorer"
"NASA","2023","Astrophysics Research"
"GSA","2025","Audit Contracts And Contract Administration"
"VA","2023","Automobile Adaptive Equipment"
"STATE","2025","Aviation, Anticrime, Interdiction and Related Programs"
"PBGC","2024","Benefit Payments"
"DOE","2025","Benefits - Payroll"
"DOE","2025","Benefits - Travel"
"NASA","2023","Biological and Physical Sciences"
"NLRB","2025","Board Adjudication"
"GSA","2024","Building Operations"
"DOC","2024","Bureau of Economic Analysis (BEA)"
"TREASURY","2025","Bureau of Engraving and Printing - Bureau of Engraving and Printing Fund"
"DOC","2023","Bureau of Industry and Security (BIS)"
"DOC","2023","Bureau of Industry and Security (BIS) - Dual Use Export Administration and Enforcement"
"DOC","2024","Bureau of Industry and Security (BIS)-Dual Use Export Administration and Enforcement"
"DOL","2025","Bureau of Labor Statistics - Compensation and Working Conditions"
"DOL","2023","Bureau of Labor Statistics - Executive Direction and Staff Services"
"DOL","2025","Bureau of Labor Statistics - Labor Force Statistics"
"DOL","2023","Bureau of Labor Statistics - Prices and Cost of Living"
"DOL","2023","Bureau of Labor Statistics - Productivity and Technology"
"DOL","2023","Bureau of Labor Statistics- Headquarters Relocation"
"DOI","2025","California Bay-Delta Restoration, Bureau of Reclamation, Interior"
"DOI","2022","California Water Security and Environmental Enhancement"
"STATE","2025","Capital and Real Property Acquisitions Programs"
"ED","2025","Career and Technical Education - Basic Grants to States"
"ED","2025","Career and Technical Education - Grants to Native Americans and Alaska Natives"
"VA","2024","Caregiver Support"
"NLRB","2025","Case Handling"
"EXIM","2023","Cash-control Disbursements"
"HHS","2021","CDC Office of Operations"
"DOC","2023","Census Bureau"
"DOC","2024","Census Bureau - Current Demographic Statistics"
"DOC","2024","Census Bureau - Current Economic Statistics"
"DOC","2024","Census Bureau - Decennial Census"
"DOC","2023","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Census Personnel and Employment Check Systems"
"DOC","2023","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Data Ingest and Collection for the Enterprise"
"DOC","2023","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Data Lake"
"DOC","2022","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Dissemination Services"
"DOC","2024","Census Bureau - Enterprise Data Caputre and Dissemination System (EDCADS)- Enterprise Dissemination Services"
"DOC","2023","Census Bureau - Enterprise Data Collection and Dissemination System (EDCADS) - Administrative Records Research and Integration"
"DOC","2024","Census Bureau - Geographic Support"
"DOC","2024","Census Bureau - Periodic Economic Statistics"
"DOC","2025","Census Bureau - State Children's Health Insurance Program"
"DOC","2022","Census Bureau - Survey of Program Dynamics"
"DOC","2025","Census Bureau - Working Capital Fund"
"DOI","2025","Centennial Challenge, National Park Service, Interior"
"NASA","2021","Center Engineering Safety & Operations"
"NASA","2023","Center Management and Operations"
"HHS","2023","Centers for Disease Control and Prevention (CDC) - Global Health Center"
"HHS","2025","Centers for Disease Control and Prevention (CDC) - National Center for Chronic Disease Prevention and Health Promotion"
"HHS","2025","Centers for Disease Control and Prevention (CDC) - National Center for Emerging and Zoonotic Infectious Diseases"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Environmental Health/Agency for Toxic Substances and Disease Registry (ATSDR)"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Health Statistics"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for HIV, Viral Hepatitis, STD, and TB Prevention"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Immunization and Respiratory Diseases"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Injury Prevention and Control"
"HHS","2025","Centers for Disease Control and Prevention (CDC) - National Center for State, Tribal, Local, and Territorial Public Health Infrastructure and Workforce"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center on Birth Defects and Developmental Disabilities"
"HHS","2023","Centers for Disease Control and Prevention (CDC) - National Institute for Occupational Safety and Health"
"HHS","2025","Centers for Disease Control and Prevention (CDC) - Office of Policy, Performance, and Evaluation"
"HHS","2025","Centers for Disease Control and Prevention (CDC) - Office of Public Health Data, Surveillance, and Technology"
"HHS","2025","Centers for Disease Control and Prevention (CDC) - Office of Readiness and Response"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of Science"
"HHS","2025","Centers for Disease Control and Prevention (CDC) - Office of the Chief Operating Officer"
"HHS","2021","Centers for Disease Control and Prevention (CDC) Office of Readiness and Response"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - ACO REACH (Medicare Part A)"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - ACO REACH (Medicare Part B)"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - ACO REACH Model"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Administration (Innovation)"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Basic Health Program"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Building Innovation Pipeline"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Bundled Payments for Care Improvement Advanced Model"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Consolidated Appropriations Act of 2021 Implementation Fund"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - ESRD Networks"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Exchange Program Integrity"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Federal Administration (Medicare Fee-for-Service)"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Federal Exchange Operations"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Financial Alignment Initiative for Medicare-Medicaid Enrollees"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Home Health Service Prior Authorization"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Inflation Reduction Act Implementation Fund"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Integrated Care for Kids Model"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Kidney Care Choices (Benefits)"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Kidney Care Choices Model"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Maryland Total Cost of Care (Benefits)"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicaid Adult Quality Measures"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Medicaid Integrity Program"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Medicaid Program Integrity"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicare Operations Anomaly"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Medicare Program Integrity"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Medicare Shared Savings (Hospital Insurance)"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Medicare Shared Savings (Supplementary Medical Insurance)"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Medicare-Medicaid Coordination"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Money Follows the Person Demonstration"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Navigator Grants"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Part D Redesign Implementation"
"HHS","2022","Centers for Medicare & Medicaid Services (CMS) - Primary Care First Model Options"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Private Insurance Innovation Waivers"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - Program Management: Penalty Mail"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Program Operations (Medicare Fee-for-Service)"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Administration"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Beneficiary and Family Centered Care"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Clinical Quality Improvement"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - SNF Infection Control Support"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Support Contracts"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Measure Endorsement"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Research (Medicare Fee-for-Service)"
"HHS","2025","Centers for Medicare & Medicaid Services (CMS) - State Grants And Demonstration: Penalty Mail"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Survey and Certification (Grants to States for Medicaid)"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Survey and Certification (Medicare Fee-for-Service)"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Temporary High Risk Health Insurance Pool Program"
"HHS","2021","Centers for Medicare & Medicaid Services (CMS) Medicare Fee-for-Service (FFS) - Accelerated and Advance Payment Program"
"HHS","2021","Centers for Medicare & Medicaid Services (CMS) Quality Activities  (Medicare Fee-for-Service)"
"DOI","2022","Central Utah Project Completion Account - Recovery Act, Bureau of Reclamation, Interior"
"DOI","2025","Central Valley Project Restoration Fund, Bureau of Reclamation"
"TVA","2024","Charge Card Program - Tennessee Valley Authority "
"ED","2025","Charter Schools"
"ED","2025","Child Care Access Means Parents in School"
"DOI","2025","Child Care Entitlement to States, Administration for Children and Families, Health and Human Services"
"DOI","2022","Child Care Entitlement to States, Administration for Children and Families, Health and Human Services for Bureau of Indian Affairs, Interior"
"STATE","2025","Citizens Exchange Program"
"VA","2023","Civilian Health and Medical Program of the VA (CHAMPVA)"
"DOW","2025","Civilian Pay – Department of Air Force (DAF)"
"DOW","2024","Civilian Pay – Navy"
"FLRA","2025","Claims and/or Vouchers"
"EPA","2025","Clean School Bus Program - Grants and Rebates"
"EPA","2023","Clean Water State Revolving Fund"
"VA","2025","Clothing Allowance"
"USDA","2025","CNMI Nutrition Assistance"
"DOI","2022","Colorado River Basin Act of 1968"
"DOI","2025","Colorado River Dam Fund, Boulder Canyon Project, Bureau of Reclamation"
"DOI","2022","Colorado River Dam Fund, Boulder Canyon Project, Bureau of Reclamation, Interior"
"NRC","2024","Commercial"
"NASA","2023","Commercial Crew Program"
"NASA","2023","Commercial LEO Development"
"DOW","2025","Commercial Pay - U.S. Army Corps of Engineers (USACE)"
"DOW","2025","Commercial Pay – Enterprise Business System (EBS)"
"DOW","2025","Commercial Pay – Financial Accounting and Budgetary System (FABS)"
"DOW","2025","Commercial Pay – General Fund Enterprise Business System (GFEBS)"
"DOW","2025","Commercial Pay – Integrated Accounts Payable System (IAPS)"
"DOW","2025","Commercial Pay – ONEPAY"
"DOW","2025","Commercial Pay – Standard Automated Voucher Examination System (SAVES)"
"DOW","2025","Commercial Pay – Transportation Financial Management System (TFMS)"
"EPA","2023","Commodities - Environmental Protection Agency"
"USDA","2023","Commodity Credit Corporation (CCC) Administrative Contracts"
"USDA","2021","Commodity Credit Corporation (CCC) Coronavirus Food Assistance Program (CFAP)"
"USDA","2023","Commodity Credit Corporation (CCC) Economic Adjustment Assistance for Upland Cotton (EAAP)"
"USDA","2023","Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL)"
"USDA","2025","Commodity Credit Corporation (CCC) Public Law 480"
"USDA","2022","Commodity Credit Corporation Seafood Trade Relief Program (STRP)"
"USDA","2023","Commodity Supplemental Food Program"
"NASA","2023","Communication Services Program"
"TREASURY","2024","Community Development Financial Institutions - Emergency Support Program - Equitable Recovery Program"
"TREASURY","2023","Community Development Financial Institutions - Emergency Support Program - Non Federal Financial Assistance Related Payments"
"TREASURY","2025","Community Development Financial Institutions Fund - Capital Magnet Fund"
"TREASURY","2025","Community Development Financial Institutions Fund - Capital Magnet Fund - Non Financial Assistance Related Payments"
"TREASURY","2024","Community Development Financial Institutions Fund - CDFI BGP Financing Fund - Non Financial Assistance Related Payments"
"TREASURY","2022","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Equity Investment Dividend"
"TREASURY","2025","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Program"
"TREASURY","2025","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Program- Bank Enterprise Award Program"
"TREASURY","2025","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Program- Native Initiatives"
"TREASURY","2025","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Program- Non-Federal Financial Assistance Payments"
"TREASURY","2025","Community Development Financial Institutions Fund - Community Development Financial Institutions (CDFI) Program- Small Dollar Loan Program"
"USDA","2025","Community Food Projects"
"SBA","2022","Community Navigator Pilot Program"
"HUD","2023","Community Planning and Development - Capacity Building"
"HUD","2025","Community Planning and Development - Community Development Block Grant – Disaster Recovery"
"HUD","2023","Community Planning and Development - Community Development Block Grant – DRAA-Sandy"
"HUD","2024","Community Planning and Development - Community Development Block Grants (CDBG) - CDBG Insular Areas - CDBG Entitlement - CDBG Non-Entitlement"
"HUD","2024","Community Planning and Development - Community Project Funding - Community Project/Congressional Funding"
"HUD","2025","Community Planning and Development - HOME Investments Partnership Program"
"HUD","2023","Community Planning and Development - Homeless Assistance Grants"
"HUD","2025","Community Planning and Development - Housing Opportunities for Persons with AIDS"
"HUD","2024","Community Planning and Development - Housing Trust Fund"
"HUD","2023","Community Planning and Development - Neighborhood Stabilization Program"
"HUD","2025","Community Planning and Development - Project Based Section 8 - Renewal of Expiring Sec. 8 Mod Rehab SRO"
"HUD","2025","Community Planning and Development - Public Laws 115-123, 115-56, and 115-72"
"HUD","2024","Community Planning and Development - Self-Help Homeownership Opportunity Program (SHOP)"
"MCC","2023","Compact Assistance"
"MCC","2023","Compact Development Funding"
"DOI","2025","Compact of Free Association, Insular Affairs, Interior"
"VA","2025","Compensated Work Therapy"
"VA","2024","Compensation"
"ED","2025","Comprehensive Centers"
"ED","2025","Comprehensive Literacy Development"
"SBA","2023","Congressional Grants"
"USDA","2024","Conservation Loans"
"USDA","2025","Conservation Outreach, Education and Technical Assistance"
"USDA","2025","Conservation Reserve Program"
"ED","2025","Consolidated Grant to the Outlying Areas"
"STATE","2025","Construction"
"GSA","2024","Construction and Acquisition of Facilities"
"EPA","2025","Construction Grants for Wastewater Treatment Works"
"DOI","2025","Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior"
"DOI","2025","Construction, National Park Service, Interior"
"DOI","2023","Construction, National Park Service, Interior - Disaster Supplement 22XP10395H, 23XP10395H"
"DOI","2025","Construction, United States Fish and Wildlife Service"
"DOI","2022","Construction, United States Fish and Wildlife Service, Interior - DISASTER SUPPLEMENTAL APPROP 23XF1612CE"
"STATE","2025","Consular and Border Security Programs"
"STATE","2025","Consular Information Technology and Security"
"FLRA","2025","Contract Payments and/or Invoices"
"DOI","2025","Contract Support Costs, Bureau of Indian Affairs and Bureau of Indian Education, Interior"
"PBGC","2025","Contractor Payments"
"EPA","2023","Contracts - Environmental Protection Agency"
"NSF","2024","Contracts and Individual Payments"
"ED","2024","Contractual Services"
"DOI","2025","Contribution for Annuity Benefits, National Park Service, Interior"
"DOI","2025","Cooperative Endangered Species Conservation Fund, from Land and Water Conservation Fund, U.S. Fish and Wildlife Service"
"DOI","2022","Cooperative Endangered Species Conservation Fund, from Land and Water Conservation Fund, U.S. Fish and Wildlife Service, Interior"
"DOI","2025","Cooperative Endangered Species Conservation Fund, United States Fish and Wildlife Service"
"NASA","2023","Cosmic Origins"
"DHS","2024","Countering Weapons of Mass Destruction Office - Federal Assistance"
"DHS","2025","Countering Weapons of Mass Destruction Office - Homeland Security Biowatch Program"
"DHS","2024","Countering Weapons of Mass Destruction Office - National Nuclear Forensics Expertise Development Program"
"DHS","2024","Countering Weapons of Mass Destruction Office - Operations & Support"
"DHS","2022","Countering Weapons of Mass Destruction Office - Procurement, Construction, and Improvement"
"DHS","2021","Countering Weapons of Mass Destruction Office - Research & Development"
"DHS","2025","Countering Weapons of Mass Destruction Office - Securing the Cities Program"
"VA","2023","COVID-19 Office of Information & Technology"
"FCC","2023","COVID-19 Telehealth"
"VA","2022","COVID-19 VA Wide Payroll"
"VA","2023","COVID-19 Veterans Benefits Administration (VBA) General Operating Expense"
"VA","2025","COVID-19 Veterans Health Administration (VHA) Supplemental Disbursements"
"SBA","2021","COVID-Economic Injury Disaster Loan (EIDL)"
"ED","2025","Credit Enhancement for Charter School Facilities"
"ED","2025","Credit Programs"
"NASA","2023","Crew and Cargo Program"
"DHS","2025","Cybersecurity and Infrastructure Security Agency - All Other"
"DHS","2025","Cybersecurity and Infrastructure Security Agency - Joint Cyber Defense Collaborative"
"DHS","2025","Cybersecurity and Infrastructure Security Agency - Payroll"
"DHS","2022","Cybersecurity and Infrastructure Security Agency - Stakeholder Engagement"
"USDA","2023","Dairy Margin Coverage"
