"agency","Program Name","Fiscal_Year"
"DHS","Immigration and Customs Enforcement - Enforcement and Removal Operations","2022"
"DHS","Immigration and Customs Enforcement - Fleet Card","2021"
"DHS","Immigration and Customs Enforcement - Fleet Card","2022"
"DHS","Immigration and Customs Enforcement - Homeland Security Investigations","2021"
"DHS","Immigration and Customs Enforcement - Homeland Security Investigations","2022"
"DHS","Immigration and Customs Enforcement - Management","2021"
"DHS","Immigration and Customs Enforcement - Management","2022"
"DHS","Immigration and Customs Enforcement - Office of the Assistant Secretary","2021"
"DHS","Immigration and Customs Enforcement - Office of the Assistant Secretary","2022"
"DHS","Immigration and Customs Enforcement - Payroll","2021"
"DHS","Immigration and Customs Enforcement - Payroll","2022"
"DHS","Immigration and Customs Enforcement - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2025"
"DHS","Immigration and Customs Enforcement - Purchase Card","2021"
"DHS","Immigration and Customs Enforcement - Purchase Card","2022"
"DHS","Immigration and Customs Enforcement - Travel","2021"
"DHS","Immigration and Customs Enforcement - Travel","2022"
"DHS","Management Directorate","2021"
"DHS","Management Directorate - Federal Protective Service","2021"
"DHS","Management Directorate - Federal Protective Service","2022"
"DHS","Management Directorate - Management & Administration","2021"
"DHS","Management Directorate - Management & Administration","2022"
"DHS","Office of Inspector General (OIG) - Audits, Inspections, & Investigations - Disaster Supplemental Funds","2021"
"DHS","Office of Inspector General (OIG) - Audits, Inspections, & Investigations - Disaster Supplemental Funds","2022"
"DHS","Office of Inspector General - Audits, Inspections, & Investigations","2021"
"DHS","Office of Inspector General - Audits, Inspections, & Investigations","2022"
"DHS","Office of Intelligence, Analysis, and Operations","2021"
"DHS","Office of Intelligence, Analysis, and Situational Awareness - Analysis and Operations","2021"
"DHS","Office of Intelligence, Analysis, and Situational Awareness - Analysis and Operations","2022"
"DHS","Office of the Inspector General","2021"
"DHS","Science and Technology Directorate","2021"
"DHS","Science and Technology Directorate - Procurement","2021"
"DHS","Science and Technology Directorate - Procurement","2022"
"DHS","Transportation and Security Administration","2021"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Aviation Screening Operations - Disaster Supplemental Funds","2021"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Aviation Screening Operations - Disaster Supplemental Funds","2022"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement - Disaster Supplemental Funds","2021"
"DHS","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement - Disaster Supplemental Funds","2022"
"DHS","Transportation Security Administration (TSA) - Payroll, Compensation, & Benefits - Disaster Supplemental Funds","2022"
"DHS","Transportation Security Administration (TSA) - Procurement, Construction, and Improvements: Mission Support Infrastructure","2022"
"DHS","Transportation Security Administration (TSA) - Procurement, Construction, and Improvements: Other Operations and Enforcement","2022"
"DHS","Transportation Security Administration - Operations & Support: Aviation Screening Operations","2022"
"DHS","Transportation Security Administration - Operations & Support: Mission Support","2021"
"DHS","Transportation Security Administration - Operations & Support: Mission Support","2022"
"DHS","Transportation Security Administration - Operations & Support: Other Operations and Enforcement","2021"
"DHS","Transportation Security Administration - Operations & Support: Other Operations and Enforcement","2022"
"DHS","Transportation Security Administration - Payroll, Compensation, & Benefits","2022"
"DHS","Transportation Security Administration - Procurement, Construction, and Improvements: Aviation Screening Infrastructure","2022"
"DHS","Transportation Security Administration - Research & Development","2021"
"DHS","Transportation Security Administration - Research & Development","2022"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Administration","2021"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Administration","2022"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","2021"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year","2022"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","2021"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services","2022"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2021"
"DHS","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)","2022"
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Automation and Modernization","2022"
"DHS","U.S. Customs and Border Protection (CBP) - Miscellaneous","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Miscellaneous","2022"
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Operations & Support - Disaster Supplemental Funds","2022"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2021"
"DHS","U.S. Customs and Border Protection (CBP) - Operations and Maintenance","2022"
"DHS","U.S. Secret Service (USSS) - Administration","2021"
"DHS","U.S. Secret Service (USSS) - Administration","2022"
"DHS","U.S. Secret Service (USSS) - Research & Development","2021"
"DHS","U.S. Secret Service (USSS) - Research & Development","2022"
"DHS","United States Citizenship and Immigration Services","2021"
"DHS","United States Citizenship and Immigration Services - Citizenship and Integration: Education and Training","2021"
"DHS","United States Citizenship and Immigration Services - Citizenship and Integration: Education and Training","2022"
"DHS","United States Citizenship and Immigration Services - Employment Status Verifications (E-Verify)","2021"
"DHS","United States Citizenship and Immigration Services - Employment Status Verifications (E-Verify)","2022"
"DHS","United States Citizenship and Immigration Services - Operation Allies Welcome Airport Assistance Grant","2021"
"DHS","United States Citizenship and Immigration Services - Operation Allies Welcome Airport Assistance Grant","2022"
"DHS","United States Coast Guard","2021"
"DHS","United States Coast Guard (USCG) - Environmental Compliance & Restoration (EC&R)","2021"
"DHS","United States Coast Guard (USCG) - Environmental Compliance & Restoration (EC&R)","2022"
"DHS","United States Coast Guard (USCG) - Environmental Compliance & Restoration (EC&R) - Disaster Supplemental Funds","2021"
"DHS","United States Coast Guard (USCG) - Environmental Compliance & Restoration (EC&R) - Disaster Supplemental Funds","2022"
"DHS","United States Coast Guard (USCG) - Reserve Training","2021"
"DHS","United States Coast Guard (USCG) - Reserve Training","2022"
"DHS","United States Coast Guard - Aviation Logistics Command","2021"
"DHS","United States Coast Guard - Aviation Logistics Command","2022"
"DHS","United States Coast Guard - Aviation Logistics Command - Disaster Supplemental Funds","2021"
"DHS","United States Coast Guard - Aviation Logistics Command - Disaster Supplemental Funds","2022"
"DHS","United States Coast Guard - Coast Guard Boat Safety","2021"
"DHS","United States Coast Guard - Coast Guard Boat Safety","2022"
"DHS","United States Coast Guard - Gift Fund","2021"
"DHS","United States Coast Guard - Gift Fund","2022"
"DHS","United States Coast Guard - Maritime Oil Spill Program","2021"
"DHS","United States Coast Guard - Maritime Oil Spill Program","2022"
"DHS","United States Coast Guard - Operations & Support","2021"
"DHS","United States Coast Guard - Operations & Support","2022"
"DHS","United States Coast Guard - Operations & Support - Disaster Supplemental Funds","2021"
"DHS","United States Coast Guard - Operations & Support - Disaster Supplemental Funds","2022"
"DHS","United States Coast Guard - Payroll: Civilian","2021"
"DHS","United States Coast Guard - Payroll: Civilian","2022"
"DHS","United States Coast Guard - Payroll: Military","2021"
"DHS","United States Coast Guard - Payroll: Military","2022"
"DHS","United States Coast Guard - Procurement, Construction, & Improvement","2021"
"DHS","United States Coast Guard - Procurement, Construction, & Improvement","2022"
"DHS","United States Coast Guard - Procurements, Construction, and Improvement - Disaster Supplemental Funds","2021"
"DHS","United States Coast Guard - Procurements, Construction, and Improvement - Disaster Supplemental Funds","2022"
"DHS","United States Coast Guard - Research & Development","2021"
"DHS","United States Coast Guard - Research & Development","2022"
"DHS","United States Coast Guard - Retired Pay","2021"
"DHS","United States Coast Guard - Retired Pay","2022"
"DHS","United States Coast Guard - Supply Fund","2021"
"DHS","United States Coast Guard - Supply Fund","2022"
"DHS","United States Coast Guard - Surface Forces Logistics Command","2021"
"DHS","United States Coast Guard - Surface Forces Logistics Command","2022"
"DHS","United States Coast Guard - Surface Forces Logistics Command - Disaster Supplemental Funds","2021"
"DHS","United States Coast Guard - Surface Forces Logistics Command - Disaster Supplemental Funds","2022"
"DHS","United States Coast Guard - Yard Fund","2021"
"DHS","United States Coast Guard - Yard Fund","2022"
"DHS","United States Customs and Border Protection - Border Security Fencing","2021"
"DHS","United States Customs and Border Protection - Border Security Fencing","2022"
"DHS","United States Customs and Border Protection - Operations and Support","2021"
"DHS","United States Customs and Border Protection - Operations and Support","2022"
"DHS","United States Customs and Border Protection - PR and VI Programs","2021"
"DHS","United States Customs and Border Protection - PR and VI Programs","2022"
"DHS","United States Customs and Border Protection - Procurement, Construction, and Improvements","2021"
"DHS","United States Customs and Border Protection - Procurement, Construction, and Improvements","2022"
"DHS","United States Customs and Border Protection - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2021"
"DHS","United States Customs and Border Protection - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2022"
"DHS","United States Customs and Border Protection - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2023"
"DHS","United States Customs and Border Protection - Procurement, Construction, and Improvements - Disaster Supplemental Funds","2024"
"DHS","United States Customs and Border Protection - Refund and Drawback","2021"
"DHS","United States Customs and Border Protection - Refund and Drawback","2022"
"DHS","United States Secret Service","2021"
"DHS","United States Secret Service - Contribution for Annuity Benefits","2021"
"DHS","United States Secret Service - Contribution for Annuity Benefits","2022"
"DHS","United States Secret Service - Field Operations","2021"
"DHS","United States Secret Service - Field Operations","2022"
"DHS","United States Secret Service - Procurement, Construction, & Improvement","2021"
"DHS","United States Secret Service - Procurement, Construction, & Improvement","2022"
"DHS","United States Secret Service - Protection","2021"
"DHS","United States Secret Service - Protection","2022"
"DHS","United States Secret Service - Training","2021"
"DHS","United States Secret Service - Training","2022"
"DNFSB","Salaries and Expenses (Direct)","2022"
"DOC","Bureau of Economic Analysis (BEA)","2021"
"DOC","Bureau of Economic Analysis (BEA)","2022"
"DOC","Bureau of Industry and Security (BIS)","2021"
"DOC","Bureau of Industry and Security (BIS) - Dual Use Export Administration and Enforcement","2021"
"DOC","Bureau of Industry and Security (BIS) - Dual Use Export Administration and Enforcement","2022"
"DOC","Census Bureau","2021"
"DOC","Census Bureau - Current Demographic Statistics","2021"
"DOC","Census Bureau - Current Demographic Statistics","2022"
"DOC","Census Bureau - Current Economic Statistics","2021"
"DOC","Census Bureau - Current Economic Statistics","2022"
"DOC","Census Bureau - Decennial Census","2021"
"DOC","Census Bureau - Decennial Census","2022"
"DOC","Census Bureau - EDCADS-Census Enterprise Data Collection and Processing","2021"
"DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Census Personnel and Employment Check Systems","2021"
"DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Census Personnel and Employment Check Systems","2022"
"DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Dissemination Services","2021"
"DOC","Census Bureau - Enterprise Data Capture and Dissemination System (EDCADS) - Enterprise Dissemination Services","2022"
"DOC","Census Bureau - Enterprise Data Collection and Dissemination System (EDCADS) - Administrative Records Research and Integration","2021"
"DOC","Census Bureau - Enterprise Data Collection and Dissemination System (EDCADS) - Administrative Records Research and Integration","2022"
"DOC","Census Bureau - Geographic Support","2021"
"DOC","Census Bureau - Geographic Support","2022"
"DOC","Census Bureau - Periodic Economic Statistics","2021"
"DOC","Census Bureau - Periodic Economic Statistics","2022"
"DOC","Census Bureau - State Children's Health Insurance Program","2021"
"DOC","Census Bureau - State Children's Health Insurance Program","2022"
"DOC","Census Bureau - Survey of Program Dynamics","2021"
"DOC","Census Bureau - Survey of Program Dynamics","2022"
"DOC","Census Bureau - Working Capital Fund","2021"
"DOC","Census Bureau - Working Capital Fund","2022"
"DOC","Economic Development Administration (EDA)","2021"
"DOC","Economic Development Administration (EDA) - Grants","2021"
"DOC","Economic Development Administration (EDA) - Grants","2022"
"DOC","Economic Development Administration (EDA) - Salaries and Expenses","2021"
"DOC","Economic Development Administration (EDA) - Salaries and Expenses","2022"
"DOC","Internation Trade Administration (ITA)","2021"
"DOC","International Trade Administration (ITA) - Enforcement and Compliance","2021"
"DOC","International Trade Administration (ITA) - Enforcement and Compliance","2022"
"DOC","International Trade Administration (ITA) - Executive Direction and Administration","2021"
"DOC","International Trade Administration (ITA) - Executive Direction and Administration","2022"
"DOC","International Trade Administration (ITA) - Global Markets","2021"
"DOC","International Trade Administration (ITA) - Global Markets","2022"
"DOC","International Trade Administration (ITA) - Industry and Analysis","2021"
"DOC","International Trade Administration (ITA) - Industry and Analysis","2022"
"DOC","Minority Business Development Agency (MBDA)","2021"
"DOC","Minority Business Development Agency (MBDA) - Minority Business Development and Advocacy","2021"
"DOC","Minority Business Development Agency (MBDA) - Minority Business Development and Advocacy","2022"
"DOC","Minority Business Development Agency (MBDA) - Minority Business Development Grants","2021"
"DOC","Minority Business Development Agency (MBDA) - Minority Business Development Grants","2022"
"DOC","National Institute of Standards and Technology (NIST)","2021"
"DOC","National Institute of Standards and Technology (NIST) - Contracts/Purchase Orders","2021"
"DOC","National Institute of Standards and Technology (NIST) - Contracts/Purchase Orders","2022"
"DOC","National Institute of Standards and Technology (NIST) - Grants","2021"
"DOC","National Institute of Standards and Technology (NIST) - Grants","2022"
"DOC","National Institute of Standards and Technology (NIST) - Interagency Agreements/Other/Miscellaneous","2021"
"DOC","National Institute of Standards and Technology (NIST) - Interagency Agreements/Other/Miscellaneous","2022"
"DOC","National Institute of Standards and Technology (NIST) - Payments to Employees","2021"
"DOC","National Institute of Standards and Technology (NIST) - Payments to Employees","2022"
"DOC","National Institute of Standards and Technology (NIST) - Purchase Card","2021"
"DOC","National Institute of Standards and Technology (NIST) - Purchase Card","2022"
