"Agency","Program_Name","Fiscal_Year","key","value"
"EPA","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"EPA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"EXIM","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"EXIM","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"FCA","","2025","OP Amt Identified outside of Payment Recapture Audits","0.0510000000"
"FCA","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.0510000000"
"FCA","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"FCA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"FCC","","2025","OP Amt Identified outside of Payment Recapture Audits","14.4600000000"
"FCC","","2025","OP Amt Recapture outside of Payment Recapture Audits","12.6700000000"
"FCC","","2025","OP Amt Identified through Payment Recapture Audits","3.7200000000"
"FCC","","2025","OP Amt Recaptured through Payment Recapture Audits","50.6100000000"
"FCC","","2025","Aging of Outstanding OP Identified Amt 0 - 6 months","2.3900000000"
"FCC","","2025","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0200000000"
"FCC","","2025","Aging of Outstanding OP Identified determined not collectable","73.5400000000"
"FCC","","2025","Total Overpayment Amount Recovered","63.2800000000"
"FCC","","2025","Total Overpayment Amount Identified","18.1800000000"
"FCC","","2025","Recovery Audit Amount Outstanding Rate","64.7849462366"
"FCC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","1976.8817204301"
"FEC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"FEC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"FLRA","","2025","OP Amt Identified through Payment Recapture Audits","0.0000000000"
"FLRA","","2025","OP Amt Recaptured through Payment Recapture Audits","0.0000000000"
"FLRA","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"FLRA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"FMC","","2025","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"FMC","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"FMC","","2025","OP Amt Identified through Payment Recapture Audits","0.0390000000"
"FMC","","2025","OP Amt Recaptured through Payment Recapture Audits","0.0390000000"
"FMC","","2025","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0000000000"
"FMC","","2025","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"FMC","","2025","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"FMC","","2025","Total Overpayment Amount Recovered","0.0390000000"
"FMC","","2025","Total Overpayment Amount Identified","0.0390000000"
"FMC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"FMC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"FTC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"FTC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"GCRC","","2025","OP Amt Identified outside of Payment Recapture Audits","0.0609800000"
"GCRC","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.0609800000"
"GCRC","","2025","OP Amt Identified through Payment Recapture Audits","0.0009000000"
"GCRC","","2025","OP Amt Recaptured through Payment Recapture Audits","0.0009000000"
"GCRC","","2025","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0000000000"
"GCRC","","2025","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"GCRC","","2025","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"GCRC","","2025","Total Overpayment Amount Recovered","0.0618800000"
"GCRC","","2025","Total Overpayment Amount Identified","0.0618800000"
"GCRC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"GCRC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"GSA","","2025","OP Amt Identified outside of Payment Recapture Audits","13.1600000000"
"GSA","","2025","OP Amt Recapture outside of Payment Recapture Audits","16.2800000000"
"GSA","","2025","OP Amt Identified through Payment Recapture Audits","2.1700000000"
"GSA","","2025","OP Amt Recaptured through Payment Recapture Audits","2.2000000000"
"GSA","","2025","Aging of Outstanding OP Identified Amt 0 - 6 months","0.2600000000"
"GSA","","2025","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"GSA","","2025","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"GSA","","2025","Total Overpayment Amount Recovered","18.4800000000"
"GSA","","2025","Total Overpayment Amount Identified","15.3300000000"
"GSA","","2025","Recovery Audit Amount Outstanding Rate","11.9815668203"
"GSA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"HHS","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"HHS","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"HUD","","2025","Recovery Audit Amount Outstanding Rate","90.1935483871"
"HUD","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","12.5161290323"
"IMLS","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"IMLS","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"MCC","","2025","OP Amt Identified outside of Payment Recapture Audits","3.3400000000"
"MCC","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.0100000000"
"MCC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"MCC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"MSPB","","2025","OP Amt Identified through Payment Recapture Audits","0.0000000000"
"MSPB","","2025","OP Amt Recaptured through Payment Recapture Audits","0.0000000000"
"MSPB","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"MSPB","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"MUSP","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"MUSP","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"NARA","","2025","OP Amt Identified outside of Payment Recapture Audits","0.2710000000"
"NARA","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.2170000000"
"NARA","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"NARA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"NASA","","2025","OP Amt Identified outside of Payment Recapture Audits","15.5600000000"
"NASA","","2025","OP Amt Recapture outside of Payment Recapture Audits","11.6400000000"
"NASA","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"NASA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"NCUA","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"NCUA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"NEA","","2025","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"NEA","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"NEA","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"NEA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"NEH","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"NEH","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"NLRB","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"NLRB","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"NRC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"NRC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"NSF","","2025","OP Amt Identified outside of Payment Recapture Audits","16.0100000000"
"NSF","","2025","OP Amt Recapture outside of Payment Recapture Audits","16.0100000000"
"NSF","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"NSF","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"OGE","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"OGE","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"OPM","","2025","OP Amt Identified outside of Payment Recapture Audits","321.7500000000"
"OPM","","2025","OP Amt Recapture outside of Payment Recapture Audits","245.1400000000"
"OPM","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"OPM","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"OSC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"OSC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"PBGC","","2025","OP Amt Identified outside of Payment Recapture Audits","11.9000000000"
"PBGC","","2025","OP Amt Recapture outside of Payment Recapture Audits","11.9000000000"
"PBGC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"PBGC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"PC","","2025","OP Amt Identified outside of Payment Recapture Audits","0.0950000000"
"PC","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.0810000000"
"PC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"PC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"PCLOB","","2025","OP Amt Identified outside of Payment Recapture Audits","0.0000000000"
"PCLOB","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.0000000000"
"PCLOB","","2025","OP Amt Identified through Payment Recapture Audits","0.0000000000"
"PCLOB","","2025","OP Amt Recaptured through Payment Recapture Audits","0.0000000000"
"PCLOB","","2025","Total Overpayment Amount Recovered","0.0000000000"
"PCLOB","","2025","Total Overpayment Amount Identified","0.0000000000"
"PCLOB","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"PCLOB","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"PISC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"PISC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"RRB","","2025","OP Amt Identified outside of Payment Recapture Audits","94.5000000000"
"RRB","","2025","OP Amt Recapture outside of Payment Recapture Audits","81.0000000000"
"RRB","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"RRB","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"SBA","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"SBA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"SEC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"SEC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"SSA","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"SSA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"SSS","","2025","OP Amt Identified outside of Payment Recapture Audits","0.0100000000"
"SSS","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.0050000000"
"SSS","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"SSS","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"STATE","","2025","OP Amt Identified outside of Payment Recapture Audits","32.0799854200"
"STATE","","2025","OP Amt Recapture outside of Payment Recapture Audits","32.7779408500"
"STATE","","2025","OP Amt Identified through Payment Recapture Audits","0.0079287300"
"STATE","","2025","OP Amt Recaptured through Payment Recapture Audits","0.0084166200"
"STATE","","2025","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0000000000"
"STATE","","2025","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0000000000"
"STATE","","2025","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"STATE","","2025","Total Overpayment Amount Recovered","32.7863574700"
"STATE","","2025","Total Overpayment Amount Identified","32.0879141500"
"STATE","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"STATE","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"STB","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"STB","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"TREASURY","","2025","OP Amt Identified outside of Payment Recapture Audits","1872.5800000000"
"TREASURY","","2025","OP Amt Recapture outside of Payment Recapture Audits","34.4900000000"
"TREASURY","","2025","OP Amt Identified through Payment Recapture Audits","5.0900000000"
"TREASURY","","2025","OP Amt Recaptured through Payment Recapture Audits","0.2000000000"
"TREASURY","","2025","Aging of Outstanding OP Identified Amt 0 - 6 months","4.8500000000"
"TREASURY","","2025","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0400000000"
"TREASURY","","2025","Aging of Outstanding OP Identified determined not collectable","0.0800000000"
"TREASURY","","2025","Total Overpayment Amount Recovered","34.6900000000"
"TREASURY","","2025","Total Overpayment Amount Identified","1877.6700000000"
"TREASURY","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"TREASURY","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"TVA","","2025","OP Amt Identified outside of Payment Recapture Audits","0.5200000000"
"TVA","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.5100000000"
"TVA","","2025","OP Amt Identified through Payment Recapture Audits","0.9300000000"
"TVA","","2025","OP Amt Recaptured through Payment Recapture Audits","0.9000000000"
"TVA","","2025","Aging of Outstanding OP Identified Amt 0 - 6 months","0.0000000000"
"TVA","","2025","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.0200000000"
"TVA","","2025","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"TVA","","2025","Total Overpayment Amount Recovered","1.4100000000"
"TVA","","2025","Total Overpayment Amount Identified","1.4500000000"
"TVA","","2025","Recovery Audit Amount Outstanding Rate","2.1505376344"
"TVA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"USDA","","2025","OP Amt Identified outside of Payment Recapture Audits","635.5200000000"
"USDA","","2025","OP Amt Recapture outside of Payment Recapture Audits","433.1300000000"
"USDA","","2025","OP Amt Identified through Payment Recapture Audits","17.0400000000"
"USDA","","2025","OP Amt Recaptured through Payment Recapture Audits","25.2600000000"
"USDA","","2025","Aging of Outstanding OP Identified Amt 0 - 6 months","1.7300000000"
"USDA","","2025","Aging of Outstanding OP Identified Amt 6 months to 1 year","0.7400000000"
"USDA","","2025","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"USDA","","2025","Total Overpayment Amount Recovered","458.3900000000"
"USDA","","2025","Total Overpayment Amount Identified","652.5600000000"
"USDA","","2025","Recovery Audit Amount Outstanding Rate","14.4953051643"
"USDA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"USHMM","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"USHMM","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"USIP","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"USIP","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"USITC","","2025","OP Amt Identified outside of Payment Recapture Audits","0.2600000000"
"USITC","","2025","OP Amt Recapture outside of Payment Recapture Audits","0.0800000000"
"USITC","","2025","Recovery Audit Amount Outstanding Rate","0.0000000000"
"USITC","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
"VA","","2025","OP Amt Identified outside of Payment Recapture Audits","2079.4300000000"
"VA","","2025","OP Amt Recapture outside of Payment Recapture Audits","970.4700000000"
"VA","","2025","OP Amt Identified through Payment Recapture Audits","35.0100000000"
"VA","","2025","OP Amt Recaptured through Payment Recapture Audits","29.9500000000"
"VA","","2025","Aging of Outstanding OP Identified Amt 0 - 6 months","4.3000000000"
"VA","","2025","Aging of Outstanding OP Identified Amt 6 months to 1 year","1.2600000000"
"VA","","2025","Aging of Outstanding OP Identified determined not collectable","0.0000000000"
"VA","","2025","Total Overpayment Amount Recovered","1000.4200000000"
"VA","","2025","Total Overpayment Amount Identified","2114.4400000000"
"VA","","2025","Recovery Audit Amount Outstanding Rate","15.8811768066"
"VA","","2025","Recovery Audit Amount Identified This Reporting Period Determined Not Collectable Rate","0.0000000000"
