"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"DFC","2024","Project Development Finance","0","","Yes","No"
"DFC","2025","Project Development Finance","0","","Yes","No"
"DHS","2015","CBP - Hurricane Sandy","","","Yes","No"
"DHS","2017","CBP - Hurricane Sandy","","","No","No"
"DHS","2018","CBP - Hurricane Sandy","","","No","No"
"DHS","2019","CBP - Hurricane Sandy","","","No","No"
"DHS","2020","CBP - Hurricane Sandy","","","No","No"
"DHS","2021","CBP - Hurricane Sandy","","","No","No"
"DHS","2019","CBP - User Fees","","No","Yes","No"
"DHS","2020","CBP - User Fees","","","No","No"
"DHS","2021","CBP - User Fees","","","No","No"
"DHS","2019","CISA - NPPD Legacy","","No","Yes","No"
"DHS","2020","CISA - NPPD Legacy","","","No","No"
"DHS","2021","CISA - NPPD Legacy","","","No","No"
"DHS","2019","CISA - Payroll: NPPD Legacy and OBIM","","No","Yes","No"
"DHS","2020","CISA - Payroll: NPPD Legacy and OBIM","","","No","No"
"DHS","2021","CISA - Payroll: NPPD Legacy and OBIM","","","No","No"
"DHS","2021","Countering Weapons of Mass Destruction","","","No",""
"DHS","2021","Countering Weapons of Mass Destruction Office - Federal Assistance","","No","Yes","No"
"DHS","2022","Countering Weapons of Mass Destruction Office - Federal Assistance","","","No","No"
"DHS","2023","Countering Weapons of Mass Destruction Office - Federal Assistance","0","","Yes","No"
"DHS","2024","Countering Weapons of Mass Destruction Office - Federal Assistance","0","","Yes","No"
"DHS","2025","Countering Weapons of Mass Destruction Office - Federal Assistance","","","No","No"
"DHS","2025","Countering Weapons of Mass Destruction Office - Homeland Security Biowatch Program","0","","Yes","No"
"DHS","2017","Countering Weapons of Mass Destruction Office - National Nuclear Forensics Expertise Development Program","","","No",""
"DHS","2021","Countering Weapons of Mass Destruction Office - National Nuclear Forensics Expertise Development Program","","No","No",""
"DHS","2022","Countering Weapons of Mass Destruction Office - National Nuclear Forensics Expertise Development Program","","","No",""
"DHS","2023","Countering Weapons of Mass Destruction Office - National Nuclear Forensics Expertise Development Program","0","","No",""
"DHS","2024","Countering Weapons of Mass Destruction Office - National Nuclear Forensics Expertise Development Program","0","","Yes","No"
"DHS","2025","Countering Weapons of Mass Destruction Office - National Nuclear Forensics Expertise Development Program","","","No","No"
"DHS","2017","Countering Weapons of Mass Destruction Office - Operations & Support","","","No",""
"DHS","2019","Countering Weapons of Mass Destruction Office - Operations & Support","","No","No",""
"DHS","2020","Countering Weapons of Mass Destruction Office - Operations & Support","","NO","No",""
"DHS","2021","Countering Weapons of Mass Destruction Office - Operations & Support","","No","Yes","No"
"DHS","2022","Countering Weapons of Mass Destruction Office - Operations & Support","","","No","No"
"DHS","2023","Countering Weapons of Mass Destruction Office - Operations & Support","0","","No","No"
"DHS","2024","Countering Weapons of Mass Destruction Office - Operations & Support","0","","Yes","No"
"DHS","2025","Countering Weapons of Mass Destruction Office - Operations & Support","","","No","No"
"DHS","2017","Countering Weapons of Mass Destruction Office - Procurement, Construction, and Improvement","","","No",""
"DHS","2019","Countering Weapons of Mass Destruction Office - Procurement, Construction, and Improvement","","No","Yes","No"
"DHS","2020","Countering Weapons of Mass Destruction Office - Procurement, Construction, and Improvement","","","No","No"
"DHS","2021","Countering Weapons of Mass Destruction Office - Procurement, Construction, and Improvement","","","No","No"
"DHS","2022","Countering Weapons of Mass Destruction Office - Procurement, Construction, and Improvement","0","No","Yes","No"
"DHS","2023","Countering Weapons of Mass Destruction Office - Procurement, Construction, and Improvement","0","","Yes","No"
"DHS","2024","Countering Weapons of Mass Destruction Office - Procurement, Construction, and Improvement","0","","No","No"
"DHS","2025","Countering Weapons of Mass Destruction Office - Procurement, Construction, and Improvement","","","No","No"
"DHS","2021","Countering Weapons of Mass Destruction Office - Research & Development","","","Yes","No"
"DHS","2022","Countering Weapons of Mass Destruction Office - Research & Development","","","No","No"
"DHS","2023","Countering Weapons of Mass Destruction Office - Research & Development","","","No","No"
"DHS","2024","Countering Weapons of Mass Destruction Office - Research & Development","","","Yes","No"
"DHS","2025","Countering Weapons of Mass Destruction Office - Research & Development","","","No","No"
"DHS","2025","Countering Weapons of Mass Destruction Office - Securing the Cities Program","0","","Yes","No"
"DHS","2019","Countering Weapons of Mass Destruction Office (CWMD) - Chemical and Biological Readiness: Biological","","No","Yes","No"
"DHS","2020","Countering Weapons of Mass Destruction Office (CWMD) - Chemical and Biological Readiness: Biological","","","No","No"
"DHS","2021","Countering Weapons of Mass Destruction Office (CWMD) - Chemical and Biological Readiness: Biological","","","No","No"
"DHS","2022","Countering Weapons of Mass Destruction Office (CWMD) - Chemical and Biological Readiness: Biological","","","No","No"
"DHS","2021","Countering Weapons of Mass Destruction Office (CWMD) - Health and Medical Readiness","","","No",""
"DHS","2022","Countering Weapons of Mass Destruction Office (CWMD) - Health and Medical Readiness","","","No",""
"DHS","2021","Countering Weapons of Mass Destruction Office (CWMD) - Integrated Operations","","","No",""
"DHS","2022","Countering Weapons of Mass Destruction Office (CWMD) - Integrated Operations","","","No",""
"DHS","2019","Countering Weapons of Mass Destruction Office (CWMD) - Mission Support","","No","Yes","No"
"DHS","2020","Countering Weapons of Mass Destruction Office (CWMD) - Mission Support","","","No","No"
"DHS","2021","Countering Weapons of Mass Destruction Office (CWMD) - Mission Support","","","No","No"
"DHS","2022","Countering Weapons of Mass Destruction Office (CWMD) - Mission Support","","","No","No"
"DHS","2021","Customs and Border Protection","","","No",""
"DHS","2021","Cybersecurity and Infrastructure Security Agency","","","No",""
"DHS","2017","Cybersecurity and Infrastructure Security Agency - All Other","","","No",""
"DHS","2021","Cybersecurity and Infrastructure Security Agency - All Other","","","No",""
"DHS","2022","Cybersecurity and Infrastructure Security Agency - All Other","0","No","Yes","No"
"DHS","2023","Cybersecurity and Infrastructure Security Agency - All Other","0","","Yes","No"
"DHS","2024","Cybersecurity and Infrastructure Security Agency - All Other","0","","Yes","No"
"DHS","2025","Cybersecurity and Infrastructure Security Agency - All Other","0","","Yes","No"
"DHS","2025","Cybersecurity and Infrastructure Security Agency - Capacity Building","","","No",""
"DHS","2024","Cybersecurity and Infrastructure Security Agency - Cyber Defense Education and Training","","","Yes","No"
"DHS","2025","Cybersecurity and Infrastructure Security Agency - Cyber Defense Education and Training","","","No","No"
"DHS","2024","Cybersecurity and Infrastructure Security Agency - Emergency Communications","","","Yes","No"
"DHS","2025","Cybersecurity and Infrastructure Security Agency - Emergency Communications","","","No","No"
"DHS","2025","Cybersecurity and Infrastructure Security Agency - Joint Cyber Defense Collaborative","0","","Yes","No"
"DHS","2017","Cybersecurity and Infrastructure Security Agency - Payroll","","","No",""
"DHS","2020","Cybersecurity and Infrastructure Security Agency - Payroll","","NO","No",""
"DHS","2021","Cybersecurity and Infrastructure Security Agency - Payroll","","No","Yes","No"
"DHS","2022","Cybersecurity and Infrastructure Security Agency - Payroll","0","No","Yes","No"
"DHS","2023","Cybersecurity and Infrastructure Security Agency - Payroll","0","","Yes","No"
"DHS","2024","Cybersecurity and Infrastructure Security Agency - Payroll","0","","Yes","No"
"DHS","2025","Cybersecurity and Infrastructure Security Agency - Payroll","0","","Yes","No"
"DHS","2024","Cybersecurity and Infrastructure Security Agency - Stakeholder Engagement","","","Yes","No"
"DHS","2025","Cybersecurity and Infrastructure Security Agency - Stakeholder Engagement","","","No","No"
"DHS","2016","DNDO - Hurricane Sandy","","","Yes","No"
"DHS","2017","DNDO - Hurricane Sandy","","","No","No"
"DHS","2018","DNDO - Hurricane Sandy","","","No","No"
"DHS","2019","DNDO - Hurricane Sandy","","","No","No"
"DHS","2020","DNDO - Hurricane Sandy","","","No","No"
"DHS","2021","DNDO - Hurricane Sandy","","","No","No"
"DHS","2021","DNDO - System Acquisition - Hurricane Sandy","","","No",""
"DHS","2021","Federal Emergency Management Agency","","","No",""
"DHS","2025","Federal Emergency Management Agency - Adjustment or Receivable","","","No",""
"DHS","2017","Federal Emergency Management Agency - Assistance to Firefighter Grants","","","No",""
"DHS","2018","Federal Emergency Management Agency - Assistance to Firefighter Grants","","","No",""
"DHS","2019","Federal Emergency Management Agency - Assistance to Firefighter Grants","","","No",""
"DHS","2020","Federal Emergency Management Agency - Assistance to Firefighter Grants","","NO","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Assistance to Firefighter Grants","","No","Yes","No"
"DHS","2022","Federal Emergency Management Agency - Assistance to Firefighter Grants","0","No","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Assistance to Firefighter Grants","0","","No","No"
"DHS","2024","Federal Emergency Management Agency - Assistance to Firefighter Grants","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Assistance to Firefighter Grants","0","","Yes","No"
"DHS","2017","Federal Emergency Management Agency - Assistance to Firefighter Grants: Fire Prevention Program","","","No",""
"DHS","2020","Federal Emergency Management Agency - Assistance to Firefighter Grants: Fire Prevention Program","","NO","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Assistance to Firefighter Grants: Fire Prevention Program","","","No","No"
"DHS","2022","Federal Emergency Management Agency - Assistance to Firefighter Grants: Fire Prevention Program","","","No","No"
"DHS","2023","Federal Emergency Management Agency - Assistance to Firefighter Grants: Fire Prevention Program","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency - Assistance to Firefighter Grants: Fire Prevention Program","0","","No","No"
"DHS","2025","Federal Emergency Management Agency - Assistance to Firefighter Grants: Fire Prevention Program","","","No","No"
"DHS","2017","Federal Emergency Management Agency - Assistance to Firefighter Grants: Staffing for Adequate Fire and Emergency Response Program","","","No",""
"DHS","2020","Federal Emergency Management Agency - Assistance to Firefighter Grants: Staffing for Adequate Fire and Emergency Response Program","","NO","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Assistance to Firefighter Grants: Staffing for Adequate Fire and Emergency Response Program","","","No","No"
"DHS","2022","Federal Emergency Management Agency - Assistance to Firefighter Grants: Staffing for Adequate Fire and Emergency Response Program","","","No","No"
"DHS","2023","Federal Emergency Management Agency - Assistance to Firefighter Grants: Staffing for Adequate Fire and Emergency Response Program","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency - Assistance to Firefighter Grants: Staffing for Adequate Fire and Emergency Response Program","0","","No","No"
"DHS","2025","Federal Emergency Management Agency - Assistance to Firefighter Grants: Staffing for Adequate Fire and Emergency Response Program","0","","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Building Resilient Infrastructure and Communities Grants","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency - Building Resilient Infrastructure and Communities Grants","0","","No","No"
"DHS","2025","Federal Emergency Management Agency - Building Resilient Infrastructure and Communities Grants","0","","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Case Management","","","No",""
"DHS","2022","Federal Emergency Management Agency - Case Management","","","No",""
"DHS","2024","Federal Emergency Management Agency - Case Management","","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Case Management","","","No","No"
"DHS","2017","Federal Emergency Management Agency - Commercial Bill of Lading","","","No",""
"DHS","2020","Federal Emergency Management Agency - Commercial Bill of Lading","","NO","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Commercial Bill of Lading","","No","Yes","No"
"DHS","2022","Federal Emergency Management Agency - Commercial Bill of Lading","","","No","No"
"DHS","2023","Federal Emergency Management Agency - Commercial Bill of Lading","0","","No","No"
"DHS","2024","Federal Emergency Management Agency - Commercial Bill of Lading","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Commercial Bill of Lading","","","No","No"
"DHS","2020","Federal Emergency Management Agency - Commercial Bill of Lading - Disaster Supplemental Funds","","","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Commercial Bill of Lading - Disaster Supplemental Funds","","","Yes","No"
"DHS","2022","Federal Emergency Management Agency - Commercial Bill of Lading - Disaster Supplemental Funds","","","No","No"
"DHS","2025","Federal Emergency Management Agency - Commercial Bill of Lading - Disaster Supplemental Funds","","","No","No"
"DHS","2025","Federal Emergency Management Agency - Continuing Training Grants Program: Alliance for System Safety of Unmanned Aircraft Systems through Research Excellence","","","No",""
"DHS","2025","Federal Emergency Management Agency - Continuing Training Grants Program: National Cybersecurity Preparedness Consortium","","","No",""
"DHS","2025","Federal Emergency Management Agency - Crisis Counseling","","","No",""
"DHS","2014","Federal Emergency Management Agency - Disaster Case Management","","","Yes","No"
"DHS","2017","Federal Emergency Management Agency - Disaster Case Management","","","No","No"
"DHS","2018","Federal Emergency Management Agency - Disaster Case Management","","","No","No"
"DHS","2019","Federal Emergency Management Agency - Disaster Case Management","","","No","No"
"DHS","2020","Federal Emergency Management Agency - Disaster Case Management","","","No","No"
"DHS","2021","Federal Emergency Management Agency - Disaster Case Management","","No","Yes","No"
"DHS","2022","Federal Emergency Management Agency - Disaster Case Management","0","No","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Disaster Case Management","0","","No","No"
"DHS","2024","Federal Emergency Management Agency - Disaster Case Management","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Disaster Case Management","0","","Yes","No"
"DHS","2019","Federal Emergency Management Agency - Disaster Direct Loan Program","","","Yes","No"
"DHS","2020","Federal Emergency Management Agency - Disaster Direct Loan Program","","","No","No"
"DHS","2021","Federal Emergency Management Agency - Disaster Direct Loan Program","","","Yes","No"
"DHS","2022","Federal Emergency Management Agency - Disaster Direct Loan Program","","","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Disaster Direct Loan Program","","","No","No"
"DHS","2025","Federal Emergency Management Agency - Disaster Direct Loan Program","0","","Yes","No"
"DHS","2017","Federal Emergency Management Agency - Disaster Relief Fund: Individuals and Households Program","","","No",""
"DHS","2019","Federal Emergency Management Agency - Disaster Relief Fund: Individuals and Households Program","","No","No",""
"DHS","2020","Federal Emergency Management Agency - Disaster Relief Fund: Individuals and Households Program","","NO","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Disaster Relief Fund: Individuals and Households Program","","No","Yes","No"
"DHS","2022","Federal Emergency Management Agency - Disaster Relief Fund: Individuals and Households Program","0","No","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Disaster Relief Fund: Individuals and Households Program","0","","No","No"
"DHS","2024","Federal Emergency Management Agency - Disaster Relief Fund: Individuals and Households Program","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Disaster Relief Fund: Individuals and Households Program","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Disaster Relief Fund: Individuals and Households Program - Disaster Supplemental Funds","","","No",""
"DHS","2025","Federal Emergency Management Agency - Dividends & Interest","","","No",""
"DHS","2025","Federal Emergency Management Agency - Dividends & Interest - Disaster Supplemental Funds","","","No",""
"DHS","2025","Federal Emergency Management Agency - Educational Stipend","","","No",""
"DHS","2017","Federal Emergency Management Agency - Emergency Food & Shelter Program","","","No",""
"DHS","2018","Federal Emergency Management Agency - Emergency Food & Shelter Program","","","No",""
"DHS","2019","Federal Emergency Management Agency - Emergency Food & Shelter Program","","No","No",""
"DHS","2020","Federal Emergency Management Agency - Emergency Food & Shelter Program","","NO","Yes","No"
"DHS","2021","Federal Emergency Management Agency - Emergency Food & Shelter Program","","No","Yes","No"
"DHS","2022","Federal Emergency Management Agency - Emergency Food & Shelter Program","0","No","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Emergency Food & Shelter Program","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency - Emergency Food & Shelter Program","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Emergency Food & Shelter Program","","","No","No"
"DHS","2021","Federal Emergency Management Agency - Emergency Management Baseline Assessment Grant Program","","","No",""
"DHS","2022","Federal Emergency Management Agency - Emergency Management Baseline Assessment Grant Program","","","No",""
"DHS","2025","Federal Emergency Management Agency - Emergency Management Baseline Assessment Grant Program","","","No",""
"DHS","2019","Federal Emergency Management Agency - Emergency Management Performance Grants","","No","Yes","No"
"DHS","2020","Federal Emergency Management Agency - Emergency Management Performance Grants","","","No","No"
"DHS","2021","Federal Emergency Management Agency - Emergency Management Performance Grants","","","No","No"
"DHS","2022","Federal Emergency Management Agency - Emergency Management Performance Grants","0","No","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Emergency Management Performance Grants","0","","No","No"
"DHS","2024","Federal Emergency Management Agency - Emergency Management Performance Grants","0","","No","No"
"DHS","2025","Federal Emergency Management Agency - Emergency Management Performance Grants","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Emergency Operations Center Community Project Grants","","","No",""
"DHS","2021","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Claims and Non-Claims","","No","No",""
"DHS","2022","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Claims and Non-Claims","","","No",""
"DHS","2023","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Claims and Non-Claims","0","","Yes","No"
"DHS","2024","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Claims and Non-Claims","0","","Yes","No"
"DHS","2025","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Claims and Non-Claims","0","","Yes","No"
"DHS","2019","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Grants","","No","Yes","No"
"DHS","2020","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Grants","","","No","No"
"DHS","2021","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Grants","","","No","No"
"DHS","2022","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Grants","0","No","Yes","No"
"DHS","2023","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Grants","0","","No","No"
"DHS","2024","Federal Emergency Management Agency - Federal Insurance & Mitigation Administration: Grants","0","","No","No"
