"Agency","Program Name","Assistance Listing Number"
"DHS","Federal Emergency Management Agency - Travel","97.046"
"DHS","Federal Emergency Management Agency - Travel","97.107"
"DHS","Federal Emergency Management Agency - Travel","97.04"
"DHS","Federal Emergency Management Agency – United States Fire Administration","97.043"
"DHS","Federal Emergency Management Agency – United States Fire Administration","97.018"
"DHS","Federal Emergency Management Agency - Urban Search and Rescue","97.025"
"DHS","Federal Emergency Management Agency - Urban Search and Rescue","97.007"
"DHS","Federal Emergency Management Agency - Urban Search and Rescue","97.107"
"DHS","Federal Emergency Management Agency - Vendor Pay","97.007"
"DHS","Federal Emergency Management Agency - Vendor Pay","97.046"
"DHS","Federal Emergency Management Agency - Vendor Pay","97.107"
"DHS","Federal Emergency Management Agency - Vendor Pay","97.04"
"DHS","United States Coast Guard - Coast Guard Boat Safety","97.135"
"DHS","United States Coast Guard - Coast Guard Boat Safety","97.136"
"DHS","United States Coast Guard - Coast Guard Boat Safety","97.012"
"DHS","Federal Emergency Management Agency - Disaster Direct Loan Program","97.03"
"DHS","Countering Weapons of Mass Destruction Office - National Nuclear Forensics Expertise Development Program","97.13"
"DHS","Cybersecurity and Infrastructure Security Agency - Capacity Building","97.155"
"DHS","Federal Emergency Management Agency - Continuing Training Grants Program: Alliance for System Safety of Unmanned Aircraft Systems through Research Excellence","97.146"
"DHS","Federal Emergency Management Agency - Continuing Training Grants Program: National Cybersecurity Preparedness Consortium","97.148"
"DHS","Federal Emergency Management Agency - Crisis Counseling","97.032"
"DHS","Federal Emergency Management Agency - Emergency Management Baseline Assessment Grant Program","97.131"
"DHS","Federal Emergency Management Agency - Emergency Operations Center Community Project Grants","97.052"
"DHS","Federal Emergency Management Agency - Infrastructure Investment and Jobs Act Grant Program","97.139"
"DHS","Federal Emergency Management Agency - Interagency Agreements","97.034"
"DHS","Federal Emergency Management Agency - Interagency Agreements","97.033"
"DHS","Federal Emergency Management Agency - Interagency Agreements","97.04"
"DHS","Federal Emergency Management Agency - Intercity Passenger Rail Program","97.157"
"DHS","Federal Emergency Management Agency - Mitigation: Flood Mitigation Assistance - Swift Current","97.144"
"DHS","Federal Emergency Management Agency - National Dam Safety Program","97.041"
"DHS","Federal Emergency Management Agency - National Dam Safety Program: Rehabilitation of High Hazard Potential Dam Grant Program","97.152"
"DHS","Federal Emergency Management Agency - National Domestic Preparedness Consortium","97.145"
"DHS","Federal Emergency Management Agency - National Earthquake Hazard Reduction Grant Program","97.082"
"DHS","Federal Emergency Management Agency - National Earthquake Hazard Reduction Grant Program","97.147"
"DHS","Federal Emergency Management Agency - National Flood Insurance Fund - Mandatory Flood Mitigation Assistance Grants","97.029"
"DHS","Federal Emergency Management Agency - Next Generation Warning System Grant Program","97.138"
"DHS","Federal Emergency Management Agency - Preparedness: Assistance to Firefighters Grants Program - Fire Prevention and Safety","97.151"
"DHS","Federal Emergency Management Agency - Preparedness: Tribal Cybersecurity Grant Program","97.156"
"DHS","Federal Emergency Management Agency - Preparedness: Tribal Homeland Security Grant Program","97.15"
"DHS","Federal Emergency Management Agency - Regional Catastrophic Preparedness Grant Program","97.111"
"DHS","Federal Emergency Management Agency - Shelter and Services Program","97.141"
"DHS","Federal Emergency Management Agency - Shelter and Services Program","97.149"
"DHS","United States Citizenship and Immigration Services - Citizenship and Integration: Integration Training Academy","97.154"
"DHS","Federal Emergency Management Agency - Reimbursable","97.034"
"DHS","Federal Emergency Management Agency - Reimbursable","97.033"
"DHS","Federal Emergency Management Agency - Reimbursable","97.04"
"DOC","Census Bureau - Current Demographic Statistics","11.016"
"DOC","Census Bureau - Current Economic Statistics","11.016"
"DOC","Census Bureau - Decennial Census","11.016"
"DOC","Census Bureau - Periodic Economic Statistics","11.016"
"DOC","Census Bureau - Working Capital Fund","11.016"
"DOC","International Trade Administration (ITA) - Global Markets","11.041"
"DOC","International Trade Administration (ITA) - Industry and Analysis","11.112"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Loans, IPACs, Other","11.415"
"DOC","National Telecommunications and Information Administration (NTIA) - Broadband Equity, Access, and Deployment Program","11.035"
"DOC","National Telecommunications and Information Administration (NTIA) - Connecting Minority Communities Pilot Program","11.028"
"DOC","National Telecommunications and Information Administration (NTIA) - Middle Mile Program","11.033"
"DOC","National Telecommunications and Information Administration (NTIA) - Digital Equity Program","11.032"
"DOC","National Institute of Standards and Technology (NIST) - Loans","11.037"
"DOC","National Telecommunications and Information Administration (NTIA) - Public Wireless Supply Chain Innovation Fund","11.038"
"DOC","National Telecommunications and Information Administration (NTIA) - Special Projects","11.553"
"DOC","Economic Development Administration (EDA) - Grants","11.307"
"DOC","Economic Development Administration (EDA) - Grants","11.023"
"DOC","Economic Development Administration (EDA) - Grants","11.024"
"DOC","Economic Development Administration (EDA) - Grants","11.039"
"DOC","Economic Development Administration (EDA) - Grants","11.04"
"DOC","Economic Development Administration (EDA) - Grants","11.3"
"DOC","Economic Development Administration (EDA) - Grants","11.302"
"DOC","Economic Development Administration (EDA) - Grants","11.303"
"DOC","Economic Development Administration (EDA) - Grants","11.312"
"DOC","Economic Development Administration (EDA) - Grants","11.313"
"DOC","Economic Development Administration (EDA) - Grants","11.037"
"DOC","Minority Business Development Agency (MBDA) - Minority Business Development Grants","11.034"
"DOC","Minority Business Development Agency (MBDA) - Minority Business Development Grants","11.802"
"DOC","Minority Business Development Agency (MBDA) - Minority Business Development Grants","11.804"
"DOC","Minority Business Development Agency (MBDA) - Minority Business Development Grants","11.805"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.013"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.042"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.601"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.603"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.604"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.606"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.609"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.61"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.611"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.616"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.617"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.619"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.62"
"DOC","National Institute of Standards and Technology (NIST) - Grants","11.037"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.008"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.011"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.012"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.015"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.017"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.021"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.022"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.4"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.405"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.407"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.408"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.413"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.417"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.419"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.42"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.426"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.427"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.429"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.431"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.432"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.433"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.434"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.435"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.436"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.437"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.438"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.439"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.44"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.441"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.451"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.452"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.454"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.455"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.457"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.459"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.46"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.462"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.463"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.467"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.468"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.469"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.472"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.473"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.474"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.477"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.478"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.481"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.482"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.483"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Grants","11.999"
"DOC","National Telecommunications and Information Administration (NTIA) - Broadband Infrastructure Program & Tribal Broadband Connectivity Program","11.029"
"DOC","National Telecommunications and Information Administration (NTIA) - Broadband Infrastructure Program & Tribal Broadband Connectivity Program","11.031"
"DOC","National Telecommunications and Information Administration (NTIA) - Digital Equity Program","11.036"
"DOC","National Oceanic and Atmospheric Administration (NOAA) - Labor and Payments to Employees","11.043"
"DOC","National Institute of Standards and Technology (NIST) - Other Transaction Agreements","11.037"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.003"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.015"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.016"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.017"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.02"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.022"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.024"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.027"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.029"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.333"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.404"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.556"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.558"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.6"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.604"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.607"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.61"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.611"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.614"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.615"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.617"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.618"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.632"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.74"
"DOD","Commercial Pay – Defense Agencies Initiative (DAI)","12.91"
"DOD","Commercial Pay – Defense Enterprise Accounting Management System (DEAMS)","12.4"
"DOD","Commercial Pay – Defense Enterprise Accounting Management System (DEAMS)","12.401"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.002"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.004"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.007"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.021"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.025"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.35"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.355"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.36"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.42"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.431"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.44"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.46"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.631"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.75"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.987"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.4"
"DOD","Commercial Pay – General Fund Enterprise Business System (GFEBS)","12.401"
"DOD","Commercial Pay – Integrated Accounts Payable System (IAPS)","12.777"
"DOD","Commercial Pay – Integrated Accounts Payable System (IAPS)","12.8"
"DOD","Commercial Pay – Integrated Accounts Payable System (IAPS)","12.801"
"DOD","Commercial Pay – Integrated Accounts Payable System (IAPS)","12.81"
"DOD","Commercial Pay – Integrated Accounts Payable System (IAPS)","12.84"
"DOD","Commercial Pay – Navy Enterprise and Resource Planning (NERP)","12.3"
"DOD","Commercial Pay – Navy Enterprise and Resource Planning (NERP)","12.33"
"DOD","Commercial Pay – Navy Enterprise and Resource Planning (NERP)","12.335"
"DOD","Commercial Pay – Navy Enterprise and Resource Planning (NERP)","12.34"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.006"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.019"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.219"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.225"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.351"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.357"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.369"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.501"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.55"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.551"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.552"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.554"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.56"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.579"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.599"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.62"
"DOD","Commercial Pay – Mechanization of Contract Administration Services (MOCAS)","12.63"
"DOD","Commercial Pay - U.S. Army Corps of Engineers (USACE)","12.005"
"DOD","Commercial Pay - U.S. Army Corps of Engineers (USACE)","12.008"
"DOD","Commercial Pay - U.S. Army Corps of Engineers (USACE)","12.01"
"DOD","Commercial Pay - U.S. Army Corps of Engineers (USACE)","12.012"
"DOD","Commercial Pay - U.S. Army Corps of Engineers (USACE)","12.026"
"DOD","Commercial Pay - U.S. Army Corps of Engineers (USACE)","12.113"
"DOD","Commercial Pay - U.S. Army Corps of Engineers (USACE)","12.114"
"DOD","Commercial Pay - U.S. Army Corps of Engineers (USACE)","12.116"
"DOD","NSA Grants","12.014"
"DOD","NSA Grants","12.9"
"DOD","NSA Grants","12.901"
"DOD","NSA Grants","12.902"
"DOD","NSA Grants","12.903"
"DOD","NSA Grants","12.905"
"DOE","Financial Assistance Awards","81.21"
"DOE","Financial Assistance Awards","81.26"
"DOE","Financial Assistance Awards","81.279"
"DOE","Financial Assistance Awards","81.302"
"DOE","Financial Assistance Awards","81.505"
"DOE","Financial Assistance Awards","81.884"
"DOE","Financial Assistance Awards","81.005"
"DOE","Financial Assistance Awards","81.008"
"DOE","Financial Assistance Awards","81.009"
"DOE","Financial Assistance Awards","81.01"
"DOE","Financial Assistance Awards","81.012"
"DOE","Financial Assistance Awards","81.041"
"DOE","Financial Assistance Awards","81.042"
"DOE","Financial Assistance Awards","81.049"
"DOE","Financial Assistance Awards","81.057"
"DOE","Financial Assistance Awards","81.065"
"DOE","Financial Assistance Awards","81.086"
"DOE","Financial Assistance Awards","81.087"
"DOE","Financial Assistance Awards","81.089"
"DOE","Financial Assistance Awards","81.092"
"DOE","Financial Assistance Awards","81.102"
"DOE","Financial Assistance Awards","81.104"
"DOE","Financial Assistance Awards","81.106"
"DOE","Financial Assistance Awards","81.108"
"DOE","Financial Assistance Awards","81.112"
"DOE","Financial Assistance Awards","81.113"
"DOE","Financial Assistance Awards","81.117"
"DOE","Financial Assistance Awards","81.119"
"DOE","Financial Assistance Awards","81.121"
"DOE","Financial Assistance Awards","81.122"
"DOE","Financial Assistance Awards","81.123"
"DOE","Financial Assistance Awards","81.124"
"DOE","Financial Assistance Awards","81.126"
"DOE","Financial Assistance Awards","81.128"
"DOE","Financial Assistance Awards","81.135"
"DOE","Financial Assistance Awards","81.136"
"DOE","Financial Assistance Awards","81.137"
"DOE","Financial Assistance Awards","81.138"
"DOE","Financial Assistance Awards","81.14"
"DOE","Financial Assistance Awards","81.214"
"DOE","Financial Assistance Awards","81.25"
"DOE","Financial Assistance Awards","81.251"
"DOE","Financial Assistance Awards","81.252"
"DOE","Financial Assistance Awards","81.253"
"DOE","Financial Assistance Awards","81.254"
"DOE","Financial Assistance Awards","81.255"
"DOE","Financial Assistance Awards","81.256"
"DOE","Financial Assistance Awards","81.258"
"DOE","Financial Assistance Awards","81.3"
"DOE","Financial Assistance Awards","81.18"
"DOE","Financial Assistance Awards","81.281"
"DOI","National Fire Plan-Wildland Urban Interface Community Fire Assistance","15.674"
"DOI","National Fire Plan-Wildland Urban Interface Community Fire Assistance","15.948"
"DOI","Service Charges, Deposits and Forfeitures, Bureau of Land Management","15.228"
"DOI","Energy Community Revitalization Program, Department-Wide Programs, Interior","15.018"
"DOI","National Wildlife Refuge System Enhancements","15.654"
"DOI","Wildlife Resource Management","15.247"
"DOI","Department of Interior Wildfire Management - Preparedness","15.088"
"DOI","Rangeland Resource Management","15.237"
"DOI","Youth Engagement, Education, and Employment","15.676"
"DOI","Aquatics Resources Management","15.244"
"DOI","Experienced Services Program","15.011"
"DOI","Fish and Wildlife Coordination and Assistance","15.664"
"DOI","Emergency Supplemental Historic Preservation Fund","15.957"
"DOI","Historic Preservation Fund Grants-In-Aid","15.904"
"DOI","Resource Management, United States Fish and Wildlife Service","15.661"
"DOI","Construction, National Park Service, Interior","15.954"
"DOI","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, Interior","15.062"
"DOI","Water and Related Resources, Bureau of Reclamation, Interior","15.507"
"DOI","California Bay-Delta Restoration, Bureau of Reclamation, Interior","15.512"
"DOI","Cooperative Endangered Species Conservation Fund, United States Fish and Wildlife Service","15.615"
"DOI","Federal Aid to Wildlife Restoration, United States Fish and Wildlife Service","15.611"
"DOI","Land Acquisition and State Assistance, National Park Service","15.916"
"DOI","Land Acquisition, United States Fish and Wildlife Service","15.667"
"DOI","National Recreation and Preservation, National Park Service, Interior","15.922"
"DOI","Natural Resource Damage Assessment Fund, Natural Resource Damage Assessment and Restoration, Interior","15.658"
"DOI","North American Wetlands Conservation Fund, United States Fish and Wildlife Service","15.623"
"DOI","Southern Nevada Public Land Management, Bureau of Land Management","15.235"
"DOI","Sport Fish Restoration Account, United States Fish and Wildlife Service","15.605"
"DOI","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior","15.02"
"DOI","Central Utah Project Completion Account, Interior","15.535"
"DOI","Ocean Energy Management, Bureau of Ocean Energy Management, Interior","15.423"
"DOI","Offshore Safety and Environmental Enforcement, Bureau of Safety and Environmental Enforcement, Interior","15.019"
"DOI","Aging Infrastructure Account, Bureau of Reclamation, Interior","15.522"
"DOI","Operation of the National Park System, National Park Service, Interior","15.945"
"DOI","Assistance to Territories, Insular Affairs, Interior","15.875"
"DOI","Central Hazardous Materials Fund, Department-Wide Programs, Interior","15.041"
"DOI","Education Construction, Bureau of Indian Affairs and Bureau of Indian Education, Interior","15.027"
"DOI","Office of Natural Resources Revenue, Department-Wide Programs, Interior","15.427"
"DOI","Operation of Indian Education Programs, Bureau of Indian Education, Interior","15.13"
"DOI","Payments for Tribal Leases, Bureau of Indian Affairs, Interior","15.048"
"DOI","Policy and Administration, Bureau of Reclamation, Interior","15.546"
"DOI","Reclamation Water Settlements Fund, Bureau of Reclamation, Interior","15.552"
"DOI","8(g) State Coastal Zone","15.43"
"DOI","9/11 Memorial Act Grant Program","15.964"
"DOI","Abandoned Hardrock Mine Reclamation (AHMR/AML) Grants","15.099"
"DOI","Adaptive Science","15.67"
"DOI","Administrative Cost Grants for Indian Schools","15.046"
"DOI","African Elephant Conservation Fund","15.62"
"DOI","Agricultural Water Use Efficiency Program","15.572"
"DOI","Agriculture on Indian Lands","15.034"
"DOI","Alaska Coastal Marine Institute","15.421"
